Test Number,Heuristic,Execution Time [ms],Closed States,Open States,Path Length,Path
46,MisplacedTilesHeuristic,9,9,9,43,"UDLRDLRDRUDRUDLRDLRUDLRDLRUDRDRDRUDRUDLRDLR"
47,ManhattanHeuristic,8,7,6,17,"URULRULUDLUDLRUDR"
47,MisplacedTilesHeuristic,8,7,6,34,"URULRULUDLUDLRUDRURULRULUDLUDLRUDR"
48,ManhattanHeuristic,8,7,8,19,"UDLRUDLULULRUDLRDLR"
48,MisplacedTilesHeuristic,7,11,12,50,"UDLRUDLULULRUDLRDLRUDLRDLRDRUDRUDLRUDLULULRUDLRUDR"
49,ManhattanHeuristic,7,3,4,7,"UDLRUDR"
49,MisplacedTilesHeuristic,9,3,4,14,"UDLRUDRUDLRUDR"
50,ManhattanHeuristic,7,3,2,5,"DLDLR"
50,MisplacedTilesHeuristic,5,3,2,10,"DLDLRDLDLR"
51,ManhattanHeuristic,7,9,9,24,"DRUDRUDLRULRULUDLUDLRDLR"
51,MisplacedTilesHeuristic,5,13,13,60,"DRUDRUDLRULRULUDLUDLRDLRDRUDRUDLRDLRDRUDRUDLRULRULUDLUDLRUDR"
52,ManhattanHeuristic,9,9,9,24,"UDLRUDRDRULRULUDLUDLRUDR"
52,MisplacedTilesHeuristic,10,10,10,51,"UDLRUDRDRULRULUDLUDLRUDRUDLRUDRDRDLRULRULUDLUDLRUDR"
53,ManhattanHeuristic,10,3,4,7,"UDLRDLR"
53,MisplacedTilesHeuristic,9,3,4,14,"UDLRDLRUDLRDLR"
54,ManhattanHeuristic,11,11,10,29,"URULRUDLRUDRDRUDLULULRUDLRUDR"
54,MisplacedTilesHeuristic,12,12,11,61,"URULRUDLRUDRDRUDLULULRUDLRUDRURULRUDLRUDRDRDLRUDLULULRUDLRUDR"
55,ManhattanHeuristic,14,9,9,24,"URULRUDLRDLRDRUDRUDLRDLR"
55,MisplacedTilesHeuristic,10,11,10,53,"URULRUDLRDLRDRUDRUDLRDLRURULRUDLRDLRUDRDRDRUDRUDLRDLR"
56,ManhattanHeuristic,9,11,10,29,"ULUDLUDLRUDRDRULRULUDLUDLRUDR"
56,MisplacedTilesHeuristic,12,12,11,61,"ULUDLUDLRUDRDRULRULUDLUDLRUDRULUDLUDLRUDRDRDLRULRULUDLUDLRUDR"
57,ManhattanHeuristic,9,11,10,29,"URUDRDRDLRUDLRULRULUDLUDLRUDR"
57,MisplacedTilesHeuristic,12,11,10,58,"URUDRDRDLRUDLRULRULUDLUDLRUDRURUDRDRDLRUDLRULRULUDLUDLRUDR"
58,ManhattanHeuristic,10,5,5,12,"ULUDLUDLRDLR"
58,MisplacedTilesHeuristic,9,5,5,24,"ULUDLUDLRDLRULUDLUDLRDLR"
59,ManhattanHeuristic,7,11,10,29,"URUDRDRDLRUDLRUDLULULRUDLRUDR"
59,MisplacedTilesHeuristic,6,11,10,58,"URUDRDRDLRUDLRUDLULULRUDLRUDRURUDRDRDLRUDLRUDLULULRUDLRUDR"
60,ManhattanHeuristic,7,13,13,36,"DLUDLUDLRDLRDRUDRUDLRULRULUDLUDLRDLR"
60,MisplacedTilesHeuristic,6,18,16,85,"DLUDLUDLRDLRDRUDRUDLRULRULUDLUDLRDLRDLUDLUDLRDLRUDRDRULRULUDLUDLRDLRUDRDRDRUDRUDLRDLR"
61,ManhattanHeuristic,9,5,5,12,"DRDLRUDLRUDR"
61,MisplacedTilesHeuristic,14,9,9,36,"DRDLRUDLRUDRDRUDRUDLRDLRDRUDRUDLRDLR"
62,ManhattanHeuristic,14,3,4,7,"UDLRDLR"
62,MisplacedTilesHeuristic,11,3,4,14,"UDLRDLRUDLRDLR"
63,ManhattanHeuristic,10,9,9,24,"DLUDLUDLRULRULUDLUDLRDLR"
63,MisplacedTilesHeuristic,12,13,13,60,"DLUDLUDLRULRULUDLUDLRDLRDLUDLUDLRDLRDRUDRUDLRULRULUDLUDLRUDR"
64,ManhattanHeuristic,9,3,4,7,"UDLRUDR"
64,MisplacedTilesHeuristic,7,3,4,14,"UDLRUDRUDLRUDR"
65,ManhattanHeuristic,11,3,4,7,"UDLRUDR"
65,MisplacedTilesHeuristic,5,3,4,14,"UDLRUDRUDLRUDR"
66,ManhattanHeuristic,9,7,6,17,"URUDRDRDLRUDLRUDR"
66,MisplacedTilesHeuristic,6,10,9,43,"URUDRDRDLRUDLRUDRURUDRDRUDLRDLRDRUDRUDLRDLR"
67,ManhattanHeuristic,6,9,9,24,"ULULRUDLRDLRDRUDRUDLRDLR"
67,MisplacedTilesHeuristic,7,11,10,53,"ULULRUDLRDLRDRUDRUDLRDLRULULRUDLRDLRUDRDRDRUDRUDLRDLR"
68,ManhattanHeuristic,8,7,6,17,"URULRULUDLUDLRDLR"
68,MisplacedTilesHeuristic,9,7,6,34,"URULRULUDLUDLRDLRURULRULUDLUDLRDLR"
69,ManhattanHeuristic,14,5,5,12,"DLDLRUDLRUDR"
69,MisplacedTilesHeuristic,12,5,5,24,"DLDLRUDLRUDRDLDLRUDLRUDR"
70,ManhattanHeuristic,11,3,4,7,"UDLRDLR"
70,MisplacedTilesHeuristic,14,3,4,14,"UDLRDLRUDLRDLR"
71,ManhattanHeuristic,12,9,9,24,"URULRUDLRDLRDRUDRUDLRDLR"
71,MisplacedTilesHeuristic,8,11,10,53,"URULRUDLRDLRDRUDRUDLRDLRURULRUDLRDLRUDRDRDRUDRUDLRDLR"
72,ManhattanHeuristic,7,9,9,24,"URUDRUDLRULRULUDLUDLRDLR"
72,MisplacedTilesHeuristic,8,13,13,60,"URUDRUDLRULRULUDLUDLRDLRURUDRUDLRDLRDRUDRUDLRULRULUDLUDLRUDR"
73,ManhattanHeuristic,9,5,5,12,"URUDRUDLRDLR"
73,MisplacedTilesHeuristic,10,5,5,24,"URUDRUDLRDLRURUDRUDLRDLR"
74,ManhattanHeuristic,81,7,6,17,"DLUDLULULRUDLRUDR"
74,MisplacedTilesHeuristic,4,7,6,34,"DLUDLULULRUDLRUDRDLUDLULULRUDLRUDR"
75,ManhattanHeuristic,17,5,5,12,"DRDLRUDLRUDR"
75,MisplacedTilesHeuristic,4,9,9,36,"DRDLRUDLRUDRDRUDRUDLRDLRDRUDRUDLRDLR"
76,ManhattanHeuristic,7,7,6,17,"DLUDLULULRUDLRUDR"
76,MisplacedTilesHeuristic,21,7,6,34,"DLUDLULULRUDLRUDRDLUDLULULRUDLRUDR"
77,ManhattanHeuristic,19,9,9,24,"UDLRUDRDRUDLULULRUDLRUDR"
77,MisplacedTilesHeuristic,7,10,10,51,"UDLRUDRDRUDLULULRUDLRUDRUDLRUDRDRDLRUDLULULRUDLRUDR"
78,ManhattanHeuristic,5,5,5,12,"URUDRUDLRDLR"
78,MisplacedTilesHeuristic,10,5,5,24,"URUDRUDLRDLRURUDRUDLRDLR"
79,ManhattanHeuristic,11,13,11,34,"URUDRDRDLRUDLRUDRDRULRULUDLUDLRUDR"
79,MisplacedTilesHeuristic,8,17,15,80,"URUDRDRDLRUDLRUDRDRULRULUDLUDLRUDRURUDRDRUDLRDLRULRULUDLUDLRDLRUDRDRDRUDRUDLRDLR"
80,ManhattanHeuristic,20,9,9,24,"DRUDRUDLRUDLULULRUDLRDLR"
80,MisplacedTilesHeuristic,9,13,13,60,"DRUDRUDLRUDLULULRUDLRDLRDRUDRUDLRDLRDRUDRUDLRUDLULULRUDLRUDR"
81,ManhattanHeuristic,9,11,10,29,"DLUDLUDLRUDRDRULRULUDLUDLRUDR"
81,MisplacedTilesHeuristic,21,12,11,61,"DLUDLUDLRUDRDRULRULUDLUDLRUDRDLUDLUDLRUDRDRDLRULRULUDLUDLRUDR"
82,ManhattanHeuristic,11,9,9,24,"ULUDLUDLRULRULUDLUDLRDLR"
82,MisplacedTilesHeuristic,7,13,13,60,"ULUDLUDLRULRULUDLUDLRDLRULUDLUDLRDLRDRUDRUDLRULRULUDLUDLRUDR"
83,ManhattanHeuristic,21,3,4,7,"UDLRUDR"
83,MisplacedTilesHeuristic,22,3,4,14,"UDLRUDRUDLRUDR"
84,ManhattanHeuristic,20,3,4,7,"UDLRUDR"
84,MisplacedTilesHeuristic,7,3,4,14,"UDLRUDRUDLRUDR"
85,ManhattanHeuristic,9,7,6,17,"DLUDLULULRUDLRDLR"
85,MisplacedTilesHeuristic,21,7,6,34,"DLUDLULULRUDLRDLRDLUDLULULRUDLRDLR"
86,ManhattanHeuristic,7,7,8,19,"UDLRDLRDRUDRUDLRDLR"
86,MisplacedTilesHeuristic,22,9,9,43,"UDLRDLRDRUDRUDLRDLRUDLRDLRUDRDRDRUDRUDLRDLR"
87,ManhattanHeuristic,8,5,5,12,"DLUDLUDLRUDR"
87,MisplacedTilesHeuristic,9,5,5,24,"DLUDLUDLRUDRDLUDLUDLRUDR"
88,ManhattanHeuristic,7,13,11,34,"URUDRDRDLRUDLRUDRDRUDLULULRUDLRUDR"
88,MisplacedTilesHeuristic,9,17,15,80,"URUDRDRDLRUDLRUDRDRUDLULULRUDLRUDRURUDRDRUDLRDLRUDLULULRUDLRDLRUDRDRDRUDRUDLRDLR"
89,ManhattanHeuristic,8,7,8,19,"UDLRUDLULULRUDLRDLR"
89,MisplacedTilesHeuristic,20,11,12,50,"UDLRUDLULULRUDLRDLRUDLRDLRDRUDRUDLRUDLULULRUDLRUDR"
90,ManhattanHeuristic,20,9,9,24,"DRUDRUDLRULRULUDLUDLRDLR"
90,MisplacedTilesHeuristic,8,13,13,60,"DRUDRUDLRULRULUDLUDLRDLRDRUDRUDLRDLRDRUDRUDLRULRULUDLUDLRUDR"
91,ManhattanHeuristic,7,13,13,36,"DLUDLUDLRDLRDRUDRUDLRULRULUDLUDLRDLR"
91,MisplacedTilesHeuristic,25,18,16,85,"DLUDLUDLRDLRDRUDRUDLRULRULUDLUDLRDLRDLUDLUDLRDLRUDRDRULRULUDLUDLRDLRUDRDRDRUDRUDLRDLR"
92,ManhattanHeuristic,8,5,5,12,"URUDRUDLRDLR"
92,MisplacedTilesHeuristic,24,5,5,24,"URUDRUDLRDLRURUDRUDLRDLR"
93,ManhattanHeuristic,7,5,5,12,"DLUDLUDLRDLR"
93,MisplacedTilesHeuristic,7,5,5,24,"DLUDLUDLRDLRDLUDLUDLRDLR"
94,ManhattanHeuristic,8,9,9,24,"URULRUDLRUDLULULRUDLRDLR"
94,MisplacedTilesHeuristic,8,13,13,60,"URULRUDLRUDLULULRUDLRDLRURULRUDLRDLRDRUDRUDLRUDLULULRUDLRUDR"
95,ManhattanHeuristic,10,9,9,24,"DRUDRUDLRULRULUDLUDLRDLR"
95,MisplacedTilesHeuristic,7,13,13,60,"DRUDRUDLRULRULUDLUDLRDLRDRUDRUDLRDLRDRUDRUDLRULRULUDLUDLRUDR"
96,ManhattanHeuristic,19,5,5,12,"DLUDLUDLRUDR"
96,MisplacedTilesHeuristic,7,5,5,24,"DLUDLUDLRUDRDLUDLUDLRUDR"
97,ManhattanHeuristic,8,3,4,7,"UDLRDLR"
97,MisplacedTilesHeuristic,6,3,4,14,"UDLRDLRUDLRDLR"
98,ManhattanHeuristic,5,5,5,12,"DRDLRUDLRUDR"
98,MisplacedTilesHeuristic,7,9,9,36,"DRDLRUDLRUDRDRUDRUDLRDLRDRUDRUDLRDLR"
99,ManhattanHeuristic,6,11,10,29,"DLDLRDRUDRUDLRULRULUDLUDLRUDR"
99,MisplacedTilesHeuristic,8,11,10,58,"DLDLRDRUDRUDLRULRULUDLUDLRUDRDLDLRDRUDRUDLRULRULUDLUDLRUDR"
100,ManhattanHeuristic,19,5,5,12,"URUDRUDLRDLR"
100,MisplacedTilesHeuristic,7,5,5,24,"URUDRUDLRDLRURUDRUDLRDLR"
,Manhattan Summary,10.85,7.91,7.84,20.66,
,Misplaced Tiles Summary,10.0,9.9,9.52,46.98,
