timestamp_ms,accX,accY,accZ,time_s,accZ_corrected,motion,velocity,displacement_m,displacement_cm
1732140106324,0.63469619,0.1902294,12.047862,5.17,2.2478619999999996,Lifting,-0.5096027281500057,-0.9035869578127869,-90.35869578127868
1732140106448,-0.20578274,-0.53539407,8.9114695,5.294,-0.8885304999999999,Lowering,-0.425324175150006,-0.9615524258173874,-96.15524258173875
1732140106573,-0.1788635,0.73818576,9.3080797,5.419,-0.4919203000000003,Lowering,-0.511602350150006,-1.0201103336486381,-102.0110333648638
1732140106697,-0.18544376,0.37328035,9.857831,5.543,0.05783099999999841,Stationary,0.0,-1.0852176643364393,0.0
1732140106818,-0.18484555,0.37328035,9.7525473,5.664,-0.0474527000000009,Stationary,0.0,-1.1503400994606148,0.0
1732140106945,-0.18544376,0.36849469,9.786046,5.791,-0.013954000000000022,Stationary,0.0,-1.218899482575891,0.0
1732140107065,-0.1902294,0.35413775,9.7908325,5.911,-0.009167500000000217,Stationary,0.0,-1.2839971989818912,0.0
1732140107191,-0.19501504,0.36849469,9.7908325,6.037,-0.009167500000000217,Stationary,0.0,-1.3525099720931923,0.0
1732140107322,-0.13160525,0.32123643,9.6436739,6.168,-0.15632610000000113,Stationary,0.0,-1.4245271743371433,0.0
1732140107446,-0.22372891,0.24885355,9.9439726,6.292,0.14397259999999967,Stationary,0.0,-1.493415685496544,0.0
1732140107565,-1.5427724,0.40079778,11.912069,6.411,2.112069,Lifting,-0.42170099265000693,-1.5515850548962946,-155.15850548962945
1732140107695,-0.26799613,-0.13339986,12.669397,6.541,2.8693969999999993,Lifting,-0.09790570265000503,-1.5853594900907957,-158.53594900907956
1732140107830,0.81655073,0.14117654,9.6299143,6.676,-0.17008570000000134,Stationary,0.0,-1.5862780228379214,0.0
1732140107961,0.37268212,0.49292147,7.6175508,6.807,-2.1824492000000006,Lowering,-0.06979322585000586,-1.585327972569547,-158.5327972569547
1732140108097,-0.47198427,0.53659046,8.8253279,6.943,-0.9746721000000012,Lowering,-0.2844774742500048,-1.6094183801763475,-160.94183801763475
1732140108227,-0.25483561,0.043070808,9.6341019,7.073,-0.1658981000000015,Stationary,0.0,-1.6512193609238484,0.0
1732140108353,-0.51924253,-0.26799613,9.151948,7.199,-0.6480519999999999,Lowering,-0.40989339355000526,-1.699635360564249,-169.96353605642489
1732140108479,-0.69690961,0.10408778,9.8751793,7.325,0.0751792999999985,Stationary,0.0,-1.7535556598978497,0.0
1732140108602,-0.41156548,-0.27816564,9.5533447,7.448,-0.24665530000000047,Lowering,-0.45653014765000555,-1.8090603029578005,-180.90603029578006
1732140108728,-0.52342993,-0.21655045,9.8297157,7.574,0.02971569999999879,Stationary,0.0,-1.8674441348341009,0.0
1732140108859,-0.61675006,-0.21116661,9.428319,7.705,-0.3716810000000006,Lowering,-0.4925960696000058,-1.9305071033233767,-193.05071033233767
1732140108992,-0.17407785,0.070588268,7.2825556,7.838,-2.5174444000000005,Lowering,-0.6847229087000059,-2.0087988153803273,-200.87988153803275
1732140109119,0.073579296,-0.28833511,7.6426754,7.965,-2.157324600000001,Lowering,-0.9815707402000053,-2.114608462085478,-211.4608462085478
1732140109240,1.4141582,-0.24287149,8.3312101,8.086,-1.4687899000000009,Lowering,-1.2009506674500063,-2.246651007248304,-224.6651007248304
1732140109366,1.352543,-0.7615158,12.536596,8.212,2.7365959999999987,Lifting,-1.121078883150007,-2.3929388689361044,-239.29388689361045
1732140109491,1.1593226,-0.34935209,11.804392,8.337,2.0043919999999993,Lifting,-0.824767133150007,-2.5145542449548555,-251.45542449548554
1732140109614,1.2514462,-0.24586253,9.9960165,8.46,0.19601649999999893,Stationary,0.0,-2.6076781072831823,0.0
1732140109740,0.26799613,0.74955171,12.244672,8.586,2.444671999999999,Lifting,-0.5230786349000068,-2.684066907937083,-268.40669079370826
1732140109870,-0.13220344,0.31106696,9.7818594,8.716,-0.018140600000000617,Stationary,0.0,-2.7418150353090835,0.0
1732140109995,-0.18544376,0.36370903,9.7812605,8.841,-0.018739500000000575,Stationary,0.0,-2.7876283599372096,0.0
1732140110113,-0.18544376,0.35892341,9.7722874,8.959,-0.027712600000000975,Stationary,0.0,-2.8311738335150105,0.0
1732140110240,-0.2117648,0.36909288,9.4091768,9.086,-0.3908232000000016,Lowering,-0.3969767973500086,-2.879902245798912,-287.99022457989116
1732140110365,-0.1902294,0.34456646,9.7818594,9.211,-0.018140600000000617,Stationary,0.0,-2.931121860311413,0.0
1732140110493,-0.18065812,0.35413775,9.7866449,9.339,-0.013355100000000064,Stationary,0.0,-2.985335607159414,0.0
1732140110615,-0.18963119,0.32542387,9.7866449,9.461,-0.013355100000000064,Stationary,0.0,-3.037230432490915,0.0
1732140110736,-0.20937198,0.35892341,9.7716894,9.582,-0.028310600000001074,Stationary,0.0,-3.0889509712731913,0.0
1732140110854,-0.15672988,0.33499518,9.7914305,9.7,-0.008569500000000119,Stationary,0.0,-3.1396662879918917,0.0
1732140110983,-0.17108682,0.34456646,9.7866449,9.829,-0.013355100000000064,Stationary,0.0,-3.1953408627644433,0.0
1732140111109,-0.18544376,0.33978081,9.8099747,9.955,0.009974699999999004,Stationary,0.0,-3.249823187403844,0.0
