timestamp_ms,accX,accY,accZ,time_s,motion
1732147382606,-0.20159531,0.33140594,9.7770729,20.48,Floating
1732147382795,-0.19202402,0.33140594,9.796216,20.669,Floating
1732147382955,-0.20159531,0.317049,9.7914305,20.829,Floating
1732147383119,-0.20638095,0.32662028,9.796216,20.993,Floating
1732147383313,-0.19621146,0.30747771,9.7818594,21.187,Floating
1732147383534,-0.21116661,0.32662028,9.7914305,21.408,Floating
1732147383744,-0.21535404,0.317049,9.7818594,21.618,Floating
1732147383959,0.26799613,0.30867413,9.7698946,21.833,Floating
1732147384176,-0.15254244,0.049052864,9.7686987,22.05,Floating
1732147384371,-0.053240303,-0.53659046,11.059627,22.245,Going Down
1732147384560,-0.16570297,0.43549371,10.969895,22.434,Going Down
1732147384801,-0.35533416,0.38823548,9.857233,22.675,Stable
1732147384952,-0.30568311,0.66221368,9.4654083,22.826,Going Up
1732147385093,-0.75314093,0.39780676,9.1585283,22.967,Floating
1732147385252,-0.45822555,0.1585245,9.5952187,23.126,Floating
1732147385401,-0.39182472,0.43190449,9.5228357,23.275,Floating
1732147385568,-0.54436713,0.59940207,9.4121675,23.442,Floating
1732147385799,-0.74775708,0.6125626,9.7591276,23.673,Floating
1732147385979,-0.67716879,-0.057427742,9.5377913,23.853,Floating
1732147386108,-0.59162539,-0.095712908,9.6813602,23.982,Floating
1732147386292,-0.74775708,0.23389842,9.9415798,24.166,Going Down
1732147386372,-0.73160553,0.22492532,9.6173525,24.246,Going Down
1732147386411,-0.59222358,0.12502499,9.6233349,24.285,Going Down
1732147386542,-0.37806597,-0.14237295,9.1292162,24.416,Going Down
1732147386758,-0.36849469,-0.0029910284,9.0807619,24.632,Going Down
1732147386939,-0.17048861,0.15613168,8.6614199,24.813,Going Down
1732147387107,0.73938221,0.47916272,8.4693956,24.981,Going Down
1732147387272,0.74895346,-0.44386861,11.3683,25.146,Going Down
1732147387705,0.28534409,0.52163535,11.544173,25.579,Going Down
1732147388014,-0.36131623,0.13519448,9.4528456,25.888,Going Down
1732147388233,-0.36909288,0.39421752,9.0221376,26.107,Going Down
1732147388442,-0.19202402,0.33619159,9.8105726,26.316,Stable
1732147388691,-0.20159531,0.33619159,9.8105726,26.565,Stable
1732147388876,-0.19680966,0.31226337,9.7914305,26.75,Stable
1732147389039,-0.20578274,0.317049,9.7818594,26.913,Stable
1732147389219,-0.19680966,0.33140594,9.8105726,27.093,Stable
1732147389486,-0.19202402,0.32183465,9.8057871,27.36,Stable
1732147389564,-0.19202402,0.33140594,9.8010015,27.438,Stable
1732147389672,-0.18723837,0.34576288,9.8010015,27.546,Stable
1732147389785,-0.19202402,0.34576288,9.796216,27.659,Stable
1732147389986,-0.20159531,0.35054851,9.796216,27.86,Stable
1732147390131,-0.18723837,0.36011982,9.8010015,28.005,Stable
1732147390501,-0.19680966,0.33619159,9.7770729,28.375,Stable
